"","indicatorName","year1960","year1961","year1962","year1963","year1964","year1965","year1966","year1967","year1968","year1969","year1970","year1971"
"356","Firms visited or required meetings with tax officials (% of firms)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","Plazo para conseguir electricidad (das)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","Índice de Capital Humano, masculino (escala de 0 a 1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","Gasto en bienes y servicios (% del gasto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","Impuestos sobre bienes y servicios (% de la recaudación)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","Deuda del gobierno central, total (% del PIB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","Créditos a otros sectores de la economía nacional (% del PIB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","Activos exteriores netos (UMN a precios actuales)",36133333.3333333,22722222.2222222,34888888.8888889,45611111.1111111,48005555.5555555,32472222.2188889,44943333.3333333,54905555.5555556,45776666.6666667,45137777.7777778,46588000.0020139,15696000.0007966
"364","Áreas protegidas terrestres y marinas (% del total de la superficie territorial)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Precio del diésel para el usuario (US$ por litro)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","Emisiones de CO2 originadas por la produccin de electricidad y calefaccin, total (% del total de la quema de combustible)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9169054441261
"367","Emisiones de óxido nitroso en el sector de energía (miles de toneladas métricas de equivalente de CO2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142.4554377,138.4356708
"368","Emisiones de CO2 (kg por PPA: paridad del poder adquisitivo del PIB de 2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","Importaciones de energía, valor neto (% del uso de energía)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8058018880366
"370","Acceso a la electricidad, sector rural (% de la población rural)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","AOD neta recibida (US$ constantes de 2014)",44419998.1689453,76489997.8637695,86750000,106389999.389648,118910003.662109,134490005.493164,153149993.896484,162330001.831055,136610000.610352,104480003.356934,113699996.948242,116889999.389648
"372","Flujos oficiales netos de organismos de Naciones Unidas, UNECE (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Flujos financieros netos, otros (NFL, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Préstamos del BIRF y créditos de la AIF (DOD, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39465000,39817000
"375","Net ODA provided to the least developed countries (% of GNI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Flujos netos de ayuda bilateral de donantes del CAD, Islandia (US$ corrientes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","Gasto de consumo final de los hogares (% del crecimiento anual)",NA,5.28871740287383,6.77955392683391,2.89644970414211,8.58851605854107,2.53137742943383,0.702555489798414,3.3255638644313,4.75918590802959,5.44827156825998,8.64677842377671,5.19114987053402
"378","Personal de las fuerzas armadas (% del total de la fuerza laboral)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Suscripciones a banda ancha fija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Evaluación de la periodicidad y puntualidad de la capacidad estadística (escala 0 - 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Solicitudes de diseño industrial, personas residentes, por recuento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Número promedio de veces que las empresas se reunieron con funcionarios impositivos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Índice de fortaleza de los derechos legales (0 = débil a 12 = fuerte)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Tiempo necesario para obtener una licencia de explotación (días)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Cobertura del registro público de crédito (% de adultos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","Índice de Capital Humano (escala de 0 a 1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Recaudación, excluidas las donaciones (UMN a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Tasa de interés activa (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","Total de reservas en meses de importaciones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","Extracción anual de agua dulce, total (% de recursos internos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","Población que vive en barrios de tugurios (% de la población urbana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","Especies de aves en peligro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Emisiones de metano relacionadas con la energía (% del total)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5857257099902,26.2232274796634
"397","Emisiones de CO2 (kt)",1763.827,1646.483,1565.809,1796.83,2145.195,2277.207,2420.22,2592.569,3116.95,3593.66,4283.056,4224.384
"398","Producción de electricidad a partir de fuentes renovables, excluida la hidroeléctrica (kilovatio-hora)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"399","Servicio de la deuda pública y con garantía pública (% de exportaciones de bienes, servicios e ingresos primarios)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Ayuda oficial neta recibida (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Bancos regionales de desarrollo, en condiciones no concesionarias (FLN, US$ a precios corrientes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489000,2411000
"402","FMI, en condiciones concesionarias (FLN, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Deuda a corto plazo (% del total de reservas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.197199705332,197.051485947873
"404","Flujos de ayuda bilateral neta de donantes del Comité de Asistencia para el Desarrollo (CAD), Eslovenia (USD a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Flujos de ayuda bilateral neta de donantes del CAD, Francia (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Capitalización en el mercado de empresas nacionales que cotizan en bolsa (% del PIB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Seguro y servicios financieros (% de las exportaciones de servicios, balanza de pagos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Ingreso primario neto (balanza de pagos, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Pagos de ingresos primario (balanza de pagos, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Área selvática  (kilómetros cuadrados)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Seguro y servicios financieros (% de las importaciones de servicios, balanza de pagos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Tierras agrícolas de regadío (% del total de tierras agrícolas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Consumo de fertilizantes (% de producción de fertilizantes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Gasto de consumo final del gobierno general (% del crecimiento anual)",NA,9.23076923076927,3.30177788039694,-2.52570406794796,12.2448979591841,6.23084780388108,1.21059807579702,6.0178361938417,6.44151593947969,8.43504065922961,3.42268046929679,1.06320500482518
"415","Índice de desempeño logístico: facilidad para coordinar embarques a precios competitivos (1= baja a 5= alta)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Líneas férreas (total rutas-kilómetros)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Calificación de eficiencia en la movilización de recursos de la CPIA (1=bajo a 6=alto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Calificación del ámbito regulador empresarial  de la CPIA (1=bajo a 6=alto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Inversión en transporte con participación privada (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Tiempo necesario para iniciar un negocio, varones (días)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Empresas que ofrecen capacitación formal (% de empresas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Tiempo para exportar, cumplimiento documental (horas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Puntuación de distancia a la frontera (0=desempeño más bajo a 100=frontera)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Otro gasto (UMN a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Impuestos al comercio internacional (UMN a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Inversión neta en activos no financieros (% del PIB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Masa monetaria (% del PIB)",8.71754082773712,8.39767843320509,10.0239253729833,8.68307855309353,8.10446375294859,7.7983485971029,9.24747995783703,10.1701476117118,12.5597504478014,11.7859021309237,11.342992913465,13.6841149335315
"429","Sucursales de bancos comerciales (por cada 100.000 adultos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Producción pesquera total (toneladas métricas)",44300,38600,42500,49700,46300,53500,48200,57500,68900,64900,91020,102580
"431","Especies de peces, en peligro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Emisiones de gas PFC (miles de toneladas métricas de equivalente de CO2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Otras emisiones de gases de efecto invernadero (% de cambio desde 1990)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Combustibles renovables y residuos (% del total de energía)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2507801998009
"435","Producción de electricidad a partir de fuentes de petróleo, gas y carbón (% del total)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.0952380952381
"436","Servicio de la deuda externa, total (TSD, US$ a precios corrientes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47310557.9,57198032.2
"437","Flujos oficiales netos procedentes de organismos de las Naciones Unidas, OOPS (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","PGP, bancos comerciales (FLN, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-262000,-514000
"439","Flujos financieros netos, bilateral (NFL, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5672718.5,5934249.2
"440","Deuda externa acumulada, total (DOD, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402122588.1,432364315.1
"441","Flujos de ayuda bilateral neta de donantes del CAD, Luxemburgo (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Flujos netos de ayuda bilateral de donantes del CAD, instituciones de la Unión Europea (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Inversiones de cartera, entrada neta de capital (balanza de pagos, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Donaciones, excluidas las destinadas a cooperación técnica (balanza de pagos, US$ corrientes)",5020000,9e+06,6080000,9160000,13080000,14040000,8840000,4870000,4250000,2490000,3180000,3500000
"445","Inversión extranjera directa, salidas netas (BDP, USD a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Índice de cosecha (2004-2006 = 100)",NA,43.59,44.22,44.54,53.91,57.15,52.04,49.88,52.87,51.92,51.27,50.23
"447","Tierra utilizada para la producción de cereales (hectáreas)",NA,504534,567973,598034,650732,640901,591684,706492,587030,614933,595413,612063
"448","Industria, valor agregado (US$ a precios constantes de 2010)",2637391323.39227,2848974259.86298,2864357385.04579,3012949674.20383,3453204240.46869,3817330920.69535,3735382319.7557,4059641607.28165,4104808225.12509,4357221032.10708,4717165715.68255,5508120432.87847
"449","Agricultura, valor agregado (UMN a precios actuales)",580118138.556333,546923528.403988,534955921.519385,623549244.949353,714100917.548995,747100000,680700000,725015000,755749000,816620000,744732000,695349000
"450","Formación bruta de capital (% del crecimiento anual)",NA,3.30354453258369,-4.29626749611212,3.1078610603291,6.45193065405829,2.38734153789227,-2.2556012117213,14.3870500930376,0.812955787062194,3.51971495931411,4.04479513707439,17.9025611898543
"451","Exportaciones de bienes y servicios (UMN a precios constantes)",738641869.149718,708613123.254104,858212853.712325,788036980.151924,817521727.027689,888024000,921607000,988751000,1014995000,891178000,892850000,986820000
"452","Gasto de consumo final (US$ a precios actuales)",1551874061.85502,1324710379.46315,1150255241.02111,1382784426.36906,1721001340.66412,1836736457.9885,1900843188.19069,2017859281.02495,2182416163.0119,2524446118.49136,2404757744.67249,2305581203.40566
"453","Gasto de consumo final del gobierno general (UMN a precios actuales)",152884867.213808,152775611.425807,140901330.082538,161292931.252334,206616116.444542,225077000,222215000,190970000,185762000,256195000,277339000,234341000
"454","Índice de desempeño logístico: eficiencia del despacho aduanero (1= baja a 5= alta)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Ferrocarriles, mercaderías transportadas (millones de toneladas-kilómetros)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Calificación de protección social de la CPIA (1=bajo a 6=alto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Solicitudes de marca comercial, personas residentes, por recuento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Inversión en energía con participación privada (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Tiempo necesario para iniciar un negocio (días)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Firms that spend on R&D (% of firms)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Costo para exportar, cumplimiento documental (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Índice de Capital Humano, femenino, límite superior (escala de 0 a 1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Pago de intereses (% de la recaudación)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Aduana y otros impuestos a las importaciones (UMN a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Contracción neta de pasivos, total (% del PIB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Crédito interno al sector privado (% del PIB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","Créditos al sector privado (crecimiento anual como % de la masa monetaria)",NA,-17.7462289293588,2.96418279291874,5.73411249112043,20.0666666666666,1.32326875130691,3.14830849898123,15.5506512014569,19.3171019852581,9.42230174399462,-15.1121199901878,10.2397870201934
"468","Cajeros automáticos (por cada 100.000 adultos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Producción acuícola (toneladas métricas)",0,0,0,0,0,0,0,0,0,10,50,50
"470","Emisiones de CO2 originadas por otros sectores, no incluye edificios residenciales y servicios comerciales y pblicos (% del total de la quema de combustible)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.73638968481375
"471","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.5439,1882.1495
"472","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)",0,0,0,0,0,0,0,0,0,0,0,0
"473","Consumo de energía procedente de combustibles fósiles (% del total)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.0576134134015
"474","Acceso a la electricidad (% de población)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","ODA neta recibida per cápita (US$ a precios actuales)",1.47458017584592,2.51809314200755,2.7884049444829,3.27945957863617,3.72998519392193,3.98933864055733,4.70605924993677,4.8938741651048,3.94204197337265,2.98369892028569,3.14694630576021,3.47983755386917
"476","Flujos oficiales netos procedentes de organismos de las Naciones Unidas, FPNU (US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","PGP, acreedores oficiales (FLN, US$ a precios actuales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12721718.5,12968249.2
"478","Valor actual de la deuda externa (% de exportaciones de bienes, servicios e ingresos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","Net ODA provided, total (% of GNI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Flujos de ayuda bilateral neta de donantes del CAD, Japón (US$ a precios actuales)",NA,NA,39999.9991059303,29999.9993294477,19999.9995529652,19999.9995529652,59999.9986588955,29999.9993294477,109999.999403954,39999.9991059303,50000.0007450581,230000.004172325
"481","Internally displaced persons, new displacement associated with disasters (number of cases)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Mercaderías exportadas hacia economías en desarrollo en América Latina y el Caribe (% del total de mercaderías exportadas)",7.07395498392283,5.49222797927461,2.91095890410959,4.16024653312789,6.32228218966847,8.86565128438281,7.69395934726596,6.75564551837561,5.94292740406783,8.0884282340593,7.13266761768902,8.87115375743876
"483","Medium and high-tech exports (% manufactured exports)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","Mercaderías importadas desde economías en desarrollo fuera de la región (% del total de mercaderías importadas)",0.693069306930693,1.00401606425703,1.27118644067797,0.789265982636148,0.756013745704467,0.985549307696959,0.999310820124052,1.05965829521053,0.704556129638328,0.855477951812208,0.598889862693544,0.952464685540121
"485","Tasa arancelaria, aplicada, media simple, productos primarios (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Tasa arancelaria, aplicada, media simple, productos manufacturados (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Necesidades de anticoncepción insatisfechas (% de mujeres casadas entre 15 y 49 años de edad)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","Población, mujeres",2272217,2336368,2402748,2471468,2542670,2616428,2692774,2771632,2852901,2936453,3022145,3109973
"489","Población de 65 años de edad y más, total",213508,218349,222446,226084,229687,233424,238190,242984,247760,252403,256884,262623
"490","Población de 40 a 44 años, mujeres (% de la población femenina)",4.25263828699158,4.20224536353403,4.16515277318234,4.1400866690674,4.12547140463144,4.11855242393354,4.10910830244202,4.10927569027923,4.11552867921856,4.12310362195479,4.12935183454136,4.12788016877311
"491","Población de 15 a 19 años, mujeres (% de la población femenina)",9.55504611583509,9.49674067035615,9.3723636923602,9.24716868907978,9.21453733422426,9.31743227123686,9.50306264097915,9.80555860229641,10.1551332643042,10.4529852853085,10.6475036770241,10.7350736694262
"492","Hogares encabezados por mujeres (% de hogares con jefa de hogar)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","Tasa de mortalidad, adultos, mujeres (por cada 1.000 mujeres adultas)",270.393,262.054,253.714,250.074,246.434,242.793,239.153,235.513,231.765,228.017,224.27,220.522
"494","Desempleo, total (% de participación total en la fuerza laboral) (estimación nacional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","Personas desempleadas con educación avanzada, mujeres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","Tasa de participación en la fuerza laboral, total (% de la población total mayor de 15 años) (estimación nacional)",NA,NA,55.0499992370605,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","Tasa de participación en la fuerza laboral de personas entre 15 y 24 años; total (%) (estimación modelado OIT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","Horas de trabajo promedio de niños, estudio y trabajo, varones, de 7 a 14 años (horas por semana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499","Empleo infantil en la industria, mujeres (% para cada edad de niñas entre 7 y 14 años)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","Trabajadores asalariados (empleados), mujeres (% del empleo femenino)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","Empleadores, mujeres (% del empleo femenino)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502","Consumo medio o ingresos per cápita según encuestas, 40 % más pobre de la población (USD por día según la PPA de 2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503","Índice de Gini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","Out-of-pocket expenditure (% of current health expenditure)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","Prevalencia de emaciación (% de menores de 5 años)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","Mortality rate attributed to unintentional poisoning (per 100,000 population)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"508","People with basic handwashing facilities including soap and water, rural (% of rural population)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","Inmunización contra el sarampión (% de niños entre 12 y 23 meses de edad)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","People using safely managed drinking water services, urban (% of urban population)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","Probability of dying among adolescents ages 15-19 years (per 1,000)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513","Prevalencia de anemia en la infancia (% de menores de 5 años)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","Inscripción escolar, nivel terciario, mujeres (% bruto)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29966020584106
"516","Adolescentes que no asisten a la escuela, varones (% de varones en edad de asistir al ciclo inferior de la escuela secundaria)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","Transición a la escuela secundaria, mujeres (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.10667
"518","Educación de nivel secundario, alumnos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216727
"519","Niños que no asisten a la escuela, varones (% de niños en edad de asistir a la escuela primaria)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0660095214844
"520","Perseverancia en la escuela hasta el último grado del nivel primario, total (% de la cohorte)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2876510620117
"521","Tasa bruta de ingreso en primer grado, total (% del grupo etario correspondiente)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.00956
"522","Edad de inicio de la educación de nivel primario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
"523","Tasa de alfabetización, mujeres adultas (% de mujeres de 15 años o más)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","Cobertura de los programas de medidas de protección social en el tercer quintil (% de la población)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","Idoneidad de los programas de trabajo y protección social (% del bienestar total de los hogares beneficiarios)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","Ahorro bruto (% del PIB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","GNI: linked series (current LCU)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","PIB per cápita (US$ a precios actuales)",455.461586837328,375.2216257143,315.688244519312,368.629956130748,440.559715276871,455.198078758113,449.920290321545,459.278881380575,450.999787822339,527.900442550973,471.63071953343,440.85736908036
"529","Discrepancia en la estimación del PIB por el método del gasto (UMN a precios constantes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","Ingreso nacional neto ajustado (US$ constantes del año 2010)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15714358097.4322,16599680565.0461
"531","Ahorro ajustado: daño por emisión de dióxido de carbono (% del INB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250738050445801,0.27893535652314
"532","Productos químicos (% del valor agregado en la industrialización)",NA,NA,NA,5.89700981777246,5.09079087369472,9.65278125,6.73418926563138,14.1297638829878,12.8571441238566,3.03210549498718,4.31725920692092,4.50420722653028
"533","Agricultura, valor agregado (% del PIB)",33.6548595252887,34.0353983300252,35.2529029353015,34.1957499512678,31.8358566226555,31.3130788162474,28.0337459253875,28.4055380642007,29.2818942533795,26.2521799930883,26.0292779221651,25.2587816484435
"534","Importaciones de bienes y servicios (UMN a precios actuales)",178648380.554647,163129709.506974,163802755.758199,181562461.0629,227547414.77995,245521000,269873000,307091000,359221000,376465000,372234000,459462000
"535","Formación bruta de capital fijo (US$ a precios actuales)",248314857.219635,213494500.305612,165625972.241648,200306792.127818,241254919.597789,254542017.261394,273868281.49942,342216044.683179,384518322.703171,443040375.83456,450772082.105278,512575708.291527
"536","Gasto de consumo final (UMN a precios constantes)",6005818661.28751,6358612508.28773,6755812793.52415,6896917099.72501,7525132206.05981,7756361000,7816797000,8108626000,8515648000,9019510000,9723720000,10166640000
"537","Gasto de consumo final del gobierno general (% del PIB)",8.86943259941439,9.50732327271472,9.28521531035076,8.84538437130148,9.21130458932232,9.43361509935018,9.1516363314382,7.48205982513521,7.19744682466835,8.23599379555884,9.69333117101902,8.51251407606524
"538","Intentional homicides, male (per 100,000 male)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","Mercaderías exportadas hacia economías en desarrollo en África al sur del Sahara (% del total de mercaderías exportadas)",NA,NA,NA,NA,NA,0.0757747973024172,1.53163469796736,1.92928078942375,1.77775500794098,0.334557858829704,NA,0.00922636896249481
